,N,Party,Race,State,Year,chisquare-benford-3d,chisquare-benford-mix,chisquare-mean-sim,chisquare-uniform,lilliefors-type-test
0,2223.0,p_democrat,USP,AL,2000,0.213593692707,0.0707208439248,0.169139911959,0.171726255577,0.07
1,2223.0,p_republican,USP,AL,2000,0.233063420324,0.0125593868101,0.304064606387,0.297000047494,0.45
2,2481.0,p_democrat,USP,AR,2000,0.047554949229,0.00741701719037,0.0352386676422,0.0228666226471,0.14
3,2481.0,p_republican,USP,AR,2000,0.497270242883,0.00180173241309,0.301977846911,0.432081707317,0.31
4,3962.0,p_democrat,USP,LA,2000,0.415413861189,0.00324117331906,0.528762141402,0.612380396608,0.17
5,3962.0,p_republican,USP,LA,2000,0.00835069530036,1.8241143522e-09,0.0105199058406,0.00953114309143,0.01
6,6024.0,p_democrat,USP,MI,2000,0.0608498783387,0.0723698114057,0.00742277122565,0.0110588879232,0.0
7,6024.0,p_republican,USP,MI,2000,0.469935014231,1.14853161389e-07,0.224926353565,0.376560906623,0.27
8,4076.0,p_democrat,USP,MN,2000,0.536175283054,0.00188160332125,0.610870028678,0.508263146022,0.43
9,4076.0,p_republican,USP,MN,2000,0.100703058683,0.075370732813,0.062845755179,0.0429394986153,0.22
10,303.0,p_democrat,USP,NH,2000,0.68133869874,0.777470970373,0.69413992326,0.664586540576,0.47
11,303.0,p_republican,USP,NH,2000,0.233136759898,0.229116022691,0.218709802578,0.243707094765,0.3
12,2076.0,p_democrat,USP,NM,2000,0.00436573807325,0.000119234240067,0.00599901239553,0.00240100473168,0.02
13,2076.0,p_republican,USP,NM,2000,0.340501011357,0.0272557306075,0.38995984602,0.418812632363,0.07
14,2593.0,p_democrat,USP,AL,2004,0.543591072664,0.0173662729138,0.433126362543,0.575133511847,0.31
15,2593.0,p_republican,USP,AL,2004,0.71674807225,0.299334425203,0.704815152708,0.699874961702,0.81
16,2315.0,p_democrat,USP,AR,2004,0.119671472293,0.0104703925085,0.169494606418,0.0990707179704,0.19
17,2315.0,p_republican,USP,AR,2004,0.344602382519,0.479422277784,0.319027394135,0.253318942865,0.13
18,2111.0,p_democrat,USP,AZ,2004,0.270863818734,0.13175467838,0.408002956046,0.432478138387,0.43
19,2111.0,p_republican,USP,AZ,2004,0.0746870174216,0.0319079767399,0.0779959391648,0.0462385640459,0.08
20,4226.0,p_democrat,USP,LA,2004,0.458237193858,0.03242705273,0.402031805361,0.221817139498,0.18
21,4226.0,p_republican,USP,LA,2004,0.175882884614,3.46299340367e-05,0.132015147087,0.282946311982,0.22
22,5830.0,p_democrat,USP,MI,2004,0.566251400051,0.433424243871,0.56764559901,0.532073263737,0.6
23,5830.0,p_republican,USP,MI,2004,0.00215877074094,0.00237818207709,0.0003929948956,0.000204639911884,0.0
24,304.0,p_democrat,USP,NH,2004,0.424049421547,0.402022926862,0.365797747019,0.387899690918,0.46
25,304.0,p_republican,USP,NH,2004,0.380516482823,0.37874637115,0.407847363503,0.416887797469,0.51
26,6073.0,p_democrat,USP,NM,2004,0.330649215686,7.44985653907e-12,0.255353694395,0.235862716529,0.23
27,6073.0,p_republican,USP,NM,2004,0.00842027034296,2.08128972126e-19,0.0061557273757,0.0122557334672,0.02
28,11406.0,p_democrat,USP,OH,2004,0.392763802759,0.464880970614,0.208673776982,0.148888536094,0.44
29,11406.0,p_republican,USP,OH,2004,0.668663314382,0.0694330640905,0.784866884085,0.767908890512,0.93
30,2033.0,p_democrat,USP,SC,2004,0.982778725204,0.946836185338,0.971976366074,0.973220418338,0.95
31,2033.0,p_republican,USP,SC,2004,0.618898020375,0.525450010483,0.736069747773,0.655038200379,0.83
32,6591.0,p_democrat,USP,WI,2004,0.149989487801,0.0153806328402,0.0915411869953,0.055258612079,0.01
33,6591.0,p_republican,USP,WI,2004,0.784926270252,0.44853607589,0.669651924272,0.52346458899,0.7
34,2683.0,p_democrat,USP,AL,2008,0.0298940554933,0.00388534488479,0.0199426950521,0.0176815030195,0.02
35,2683.0,p_republican,USP,AL,2008,0.289441511724,0.236034454583,0.31046004829,0.115861455946,0.26
36,2241.0,p_democrat,USP,AZ,2008,0.106271676908,0.0968750681067,0.0802806236136,0.049760286594,0.11
37,2241.0,p_republican,USP,AZ,2008,0.535384643121,0.402803030773,0.594779664138,0.68798320092,0.63
38,4056.0,p_democrat,USP,LA,2008,0.6289199087,0.055578409837,0.696045483472,0.346825168801,0.63
39,4056.0,p_republican,USP,LA,2008,0.00382749659818,3.75914862524e-07,0.148710654447,0.000310553726097,0.03
40,622.0,p_democrat,USP,ME,2008,0.302667065951,0.325821983933,0.385564948576,0.244695028225,0.28
41,622.0,p_republican,USP,ME,2008,0.902410764171,0.875958255845,0.885752705849,0.88083879286,0.59
42,5731.0,p_democrat,USP,MI,2008,0.0469753516199,0.0129475990248,0.0159527547185,0.0177953912282,0.0
43,5731.0,p_republican,USP,MI,2008,0.976625101127,0.00010218447614,0.870681539913,0.89203221455,0.98
44,4130.0,p_democrat,USP,MN,2008,0.996565154836,0.337642922592,0.993522913136,0.983642138811,0.99
45,4130.0,p_republican,USP,MN,2008,0.681962515054,0.00719199023629,0.648671943028,0.834097137642,0.76
46,303.0,p_democrat,USP,NH,2008,0.721766814143,0.689402250789,0.859705588517,0.777855619557,0.79
47,303.0,p_republican,USP,NH,2008,0.795317884186,0.803511402646,0.796342223134,0.725635187738,0.57
48,3316.0,p_democrat,USP,NM,2008,0.000903421976241,0.000325668489626,0.000491598244193,0.000562945655663,0.01
49,3316.0,p_republican,USP,NM,2008,6.0091954172e-12,1.56206549853e-11,1.44279938457e-12,2.42855221317e-12,0.0
50,14895.0,p_democrat,USP,NY,2008,1.96210901806e-08,1.64933102539e-13,1.48524788271e-11,2.50354866584e-10,0.0
51,14895.0,p_republican,USP,NY,2008,1.23354206074e-12,3.04396581249e-53,3.6742776355e-15,4.57222232418e-15,0.0
52,11107.0,p_democrat,USP,OH,2008,0.0769105285822,0.0479295741415,0.0979341587024,0.112788355669,0.22
53,11107.0,p_republican,USP,OH,2008,0.268949260062,0.000402107958414,0.497053757752,0.367725935898,0.35
54,2286.0,p_democrat,USP,SC,2008,0.000339333250002,0.000220679358457,0.00010936829454,8.38191593297e-05,0.0
55,2286.0,p_republican,USP,SC,2008,0.0174836331433,2.53127786428e-05,0.00456366263584,0.0132095605274,0.0
56,6670.0,p_democrat,USP,WA,2008,0.00203121798708,6.27644770281e-05,0.000570174332079,0.000386835196764,0.0
57,6670.0,p_republican,USP,WA,2008,0.00855785681264,2.11452680827e-05,0.0016193213495,0.00263750908643,0.0
58,2069.0,p_democrat,USP,AL,2012,0.735713884523,0.437389124559,0.538992492605,0.510131718317,0.49
59,2069.0,p_republican,USP,AL,2012,0.0682690640624,0.0262168351095,0.0292906790469,0.0301224399032,0.05
60,1670.0,p_democrat,USP,AZ,2012,0.293484006676,0.225263732503,0.292995008653,0.345659361584,0.5
61,1670.0,p_republican,USP,AZ,2012,0.295011907266,0.222614796401,0.206885310692,0.22644330118,0.35
62,9958.0,p_democrat,USP,IL,2012,0.606140813957,0.380305662158,0.581001962408,0.672514817773,0.81
63,9958.0,p_republican,USP,IL,2012,0.130054172868,0.00360016341225,0.867303018958,0.0243243330376,0.97
64,3951.0,p_democrat,USP,KS,2012,4.90144771259e-115,9.27045643788e-221,3.16716686859e-110,1.52990241247e-121,0.0
65,3951.0,p_republican,USP,KS,2012,9.94445312376e-97,2.35123166749e-130,1.45638158551e-120,2.5839735626e-102,0.0
66,4395.0,p_democrat,USP,LA,2012,1.65049755711e-06,6.6594173909e-10,0.000406124969225,4.14076233807e-08,0.0
67,4395.0,p_republican,USP,LA,2012,0.00090323297838,4.36614581502e-11,0.0915737294596,6.46279492081e-05,0.02
68,546.0,p_democrat,USP,ME,2012,0.19808306424,0.359294659896,0.537171394746,0.150875306115,0.62
69,546.0,p_republican,USP,ME,2012,0.299259665431,0.413073386499,0.687149628853,0.21002539778,0.69
70,4102.0,p_democrat,USP,MN,2012,0.525424137359,0.00377194764418,0.302380604971,0.438670571509,0.59
71,4102.0,p_republican,USP,MN,2012,0.0497644140743,0.0294675278892,0.0135214978852,0.0111470141505,0.01
72,300.0,p_democrat,USP,NH,2012,0.483976922588,0.522500416904,0.388659443289,0.449672081308,0.5
73,300.0,p_republican,USP,NH,2012,0.272962464157,0.280154550274,0.211239380189,0.284959142385,0.05
74,2477.0,p_democrat,USP,SC,2012,0.000626133713041,6.31094852943e-06,6.74486793661e-05,0.000127220175682,0.0
75,2477.0,p_republican,USP,SC,2012,2.87022180362e-05,1.70801092696e-09,4.8423466636e-06,5.33035944928e-06,0.0
76,4450.0,p_democrat,USP,WA,2012,0.665277238745,0.269496702951,0.289656296299,0.444984501241,0.64
77,4450.0,p_republican,USP,WA,2012,0.0757173394288,0.00153161333798,0.0221530416328,0.0414835552372,0.0
